date | value
1992-01-03 | 10
2025-10-30 | 10
2022-00-20 | 10
2022-100-20 | 10
2022-0-0-20 | 10
2020-04-31 | 10
2020-02-31 | 10
2020-02-30 | 10
2020-02-29 | 10
2019-02-29 | 10
2020-01-2147483652 | 10
4294969309-01-01 | 10
2022-4294967298-01 | 10
2022-01-4294967298 | 10
4294969309-01-01 | 10
2022-01-9223372036854775807 | 10
2022-01-9223372036854775808 | 10
2022-01-92233720368547758012 | 10
2022-01-18446744073709551615 | 10
2022-01-18446744073709551619 | 10
0X7E4-0X01-0X01 | 10
0x7E4-0x01-0x01 | 10
0x7e4-0x01-0x01 | 10
0x7e4-0x01-0xa1 | 10
0x1000007dd-0x01-0x1 | 10
03746-001-009 | 10
